,0
0,0.37420721102900184
1,0.08772021185855458
2,0.042131042679937676
3,0.025365895136838908
4,0.018437476981065022
5,0.014136869578068098
6,0.011078004464935353
7,0.00972595648114408
8,0.008373160761230368
9,0.007350294631024372
10,0.00639129217289901
11,0.005952850681521507
12,0.0051988282959760344
13,0.004903524689863494
14,0.004397974999826045
15,0.004275318163837073
16,0.003995951813205898
17,0.0036046771480125243
18,0.00352394236648488
19,0.003156530350346634
